capability_behavior	entry_families	owning_wp	first_validation_checks	required_disposition	acceptance_assertion	capability_primary_wp
C01.1	F01,F02,F19	WP11b	T01.L,T02.L	replace-bootstrap	Boot/build without Codex driver, binary, login or Home; no hidden install or provider fallback.	WP05
C01.2	F01,F02,F13,F21	WP05	T12.L	retain-public	Preserve native window/theme/keyboard/zoom/accessibility/IME behavior; compare cold/warm performance separately at T47.L.	WP05
C02.1	F01,F13,F21	WP05	T07.L,T12.L	retain-public	Keep chat/diff split, resizing, visibility and saved dimensions without provider coupling.	WP05
C02.2	F07,F13,F21	WP05	T07.L,T09.L	replace-binding	Two views bind explicit public sessions and input targets without duplicate native execution.	WP05
C03.1	F03,F08,F12,F21	WP05	T08.L	retain-public	Workspace switching, recent ordering and migrated sort metadata preserve scope and attribution.	WP05
C03.2	F08,F12,F21	WP05	T66.L	replace-read-version	Only consumption of the correct session/read version clears unread; late/background/cross-project events do not clear it.	WP05
C04.1	F03,F04,F05,F11	WP08	T03.L,T34.L	decouple-connect	Directory, Git and file operations remain usable without connecting a model.	WP08
C04.2	F04,F07,F09	WP02	T10.L	replace-identity	Workspace/public session/native binding/profile versions do not collide; real profile switching also requires T51.N1.	WP08
C05.1	F03,F04,F05	WP08	T34.L	retain-public	Clone/worktree creation, rename and removal preserve existing modifications and report partial results.	WP08
C05.2	F03,F04,F06	WP04	T24.L	explicit-execution	Creating a directory or reading task text does not authorize a launch/setup script; no-Codex startup checked at T02.L.	WP08
C06.1	F04,F07,F08	WP02	T10.L	public-session	Composite identity separates native thread ID, instance, account, root, domain and binding generation.	WP02
C06.2	F07,F08,F21	WP05	T09.L	retain-metadata	Names/pins/archive/reopen preserve lifecycle; archive is not deletion of native history; migration also T37.L.	WP02
C07.1	F07,F09,F21	WP08	T03.L	import-with-provenance	Authorized imported history remains readable when native Home is absent; migration/source mapping also T37/T40.	WP02
C07.2	F11,F12,F21	WP04	T11.L	privacy-scoped-export	Search/index/copy/export contain only the authorized domain and selected material, not hidden secrets or side chats.	WP02
C08.1	F13,F21,F22	WP05	T07.L	retain-public	Two composer drafts, attachments, focus and async selection remain independent.	WP05
C08.2	F07,F08,F12	WP04	T11.L,T49.L	separate-domains	Controller, worker, auditor and global roles do not inherit private conversations by sharing workspace or account.	WP05
C09.1	F13,F22	WP05	T12.L	retain-public	Chinese IME, shortcuts, streamed focus and normal completion survive rebinding.	WP05
C09.2	F07,F13,F22	WP04	T13.L,T24.L	explicit-intent	Command-like text and mention syntax never grant execution authority or bypass delivery identity.	WP05
C10.1	F11,F22	WP08	T35.L	freeze-input	Picker, native drop, browser drop/paste and FileReader paths freeze the intended original for the chosen target.	WP08
C10.2	F11,F22	WP08	T22.L,T35.L	scope-resources	Path/asset access respects independent project/product/native domains and protects originals.	WP08
C11.1	F07,F08	WP01	T05.L	protocol-adapter	Heterogeneous frames including missing thread/turn fields decode with provenance; malformed/partial/gap streams not falsely complete.	WP04
C11.2	F07,F08,F22	WP04	T18.L	preserve-fact-source	Tool/native/model declarations keep their source and failure; model plan text does not invent host execution facts.	WP04
C12.1	F07,F14	WP04	T13.L,T14.L	durable-delivery	Same operation/fingerprint is reconciled, conflicting fingerprint rejected, unknown acceptance not replayed blindly.	WP04
C12.2	F07,F08,F14	WP04	T16.L,T17.L,T20.L	control-priority	Ordinary input cannot starve control; duplicate/late replies cannot revive canceled or terminal operations.	WP04
C13.1	F07,F13	WP04	T15.L	native-steer-intent	Steer differs from queued send and rejects stale turn/binding targets.	WP04
C13.2	F07,F09	WP09a	T06.L,T58.L	capability-gated	Unsupported/unknown steer remains explicit for each binary/profile/mode; no silent downgrade.	WP04
C14.1	F02,F06,F07,F15	WP04	T17.L	separate-lifecycles	View close, UI disconnect, turn interrupt, session close and host exit are separate outcomes.	WP03
C14.2	F04,F06,F15,F23	WP03	T31.L,T52.L,T63.L	identity-checked-stop	Unknown PID identity cannot authorize tree kill; descendants and old writers must be reconciled before replacement. Selected Node close/Room caller: 8s host vs10s grace, codes124/125, repeated-close/missing-handle and descendant-unknown must retain custody (B02).	WP03
