method	tauri_registry	daemon_registry	desktop_route	disconnect_retry_allowlist	effects	entry_family	owning_wp	first_validation_check	current_fact_and_case
get_app_settings	T	workspace:literal	local	no	R+OS	F09	WP05	T12.L	Local config overlay and best-effort window appearance; daemon getter has no desktop window.
update_app_settings	T	workspace:literal	local	no	W+P+OS	F09	WP02	T39.L	Five native config writes precede app-settings persistence; reset client and best-effort start are local side effects.
get_codex_config_path	T	codex:literal	local	no	R	F09	WP07	T26.L	Desktop always returns its local default CODEX_HOME config path; direct daemon caller gets daemon-host path.
gogoke_update_check	T	-	local	no	N+W	F18	WP12	T59.L	Windows signed-feed check may download installer and publish prepared state; other platforms return no offer.
gogoke_update_install	T	-	local	no	W+P+X	F18	WP12	T46.L	Revalidate release and installer, stage coordinator/applying state, spawn then exit; not ready acknowledgment.
gogoke_update_signal_ready	T	-	local	no	W	F18	WP12	T59.L	No ready argument is no-op; valid temp receipt is created once and installed-state update is best effort.
gogoke_update_take_failure	T	-	local	no	R+W	F18	WP12	T38.L	Read/rotate failure log and best-effort state update can partially succeed.
file_read	T	workspace:literal	remote-when-enabled	yes	R	F11	WP08	T22.L	Resolve kind/scope/root and symlink policy on the selected host; no full-size limit in text IO.
file_write	T	workspace:literal	remote-when-enabled	no	W	F11	WP07	T25.L	Direct write with global-AGENTS exception and dangling-symlink gap; remote mode writes on daemon host.
read_image_as_data_url	T	-	local	no	R+P+W	F11	WP08	T35.L	Remote/mobile guard still runs local normalization/read; macOS HEIF conversion writes temp via sips.
write_text_file	T	-	local	no	W	F11	WP08	T22.L	Local arbitrary nonempty path, mkdir parents, direct export write; backend does not verify a save-dialog receipt.
list_workspaces	T	workspace:literal	remote-when-enabled	yes	R+X(D)	F03	WP03	T52.L	Desktop lists its map; daemon rereads disk and may kill stale shared sessions without surviving-alias check.
is_workspace_path_dir	T	workspace:literal	remote-when-enabled	yes	R	F04	WP08	T22.L	Directory predicate is not write authorization or connection readiness.
add_workspace	T	workspace:literal	remote-when-enabled	no	W+P	F04	WP08	T34.L	Select/reuse/spawn native session before registry persistence; failure compensation differs for new versus shared session.
add_workspace_from_git_url	T	workspace:literal	remote-when-enabled	no	N+W+P	F04	WP08	T34.L	Clone then connect/persist; best-effort delete can leave partial destination.
add_clone	T	workspace:literal	local	no	W+P	F04	WP08	T34.L	Desktop adapter is local even in remote mode; daemon method separately clones on daemon host.
add_worktree	T	workspace:literal	remote-when-enabled	no	W+P	F04	WP08	T34.L	Desktop remote-tracking finder is None; daemon supplies Some; disk creation precedes registry/session completion.
worktree_setup_status	T	workspace:literal	remote-when-enabled	yes	R	F04	WP08	T34.L	Decide from script and marker existence, not child exit or successful setup.
worktree_setup_mark_ran	T	workspace:literal	remote-when-enabled	no	W	F04	WP08	T34.L	Mkdir and write timestamp marker without requiring an execution-success receipt.
remove_workspace	T	workspace:literal	remote-when-enabled	no	W+X	F04	WP08	T34.L	Child worktree removal, shared-session release and persistence permit explicit partial results.
remove_worktree	T	workspace:literal	remote-when-enabled	no	W+X	F04	WP08	T34.L	Stop before Git/remove/prune/persist; failed deletion does not undo stopping.
rename_worktree	T	workspace:literal	remote-when-enabled	no	W+P	F04	WP08	T34.L	Branch rename, move, config save and session-path registration are not one transaction.
rename_worktree_upstream	T	workspace:literal	remote-when-enabled	no	N+W	F04	WP08	T34.L	Push new, delete old, set upstream; each step can leave remote/local effects.
apply_worktree_changes	T	workspace:literal	local	no	W+P	F05	WP08	T34.L	Desktop adapter remains local; patch into parent can partially apply before returning error.
update_workspace_settings	T	workspace:literal	remote-when-enabled	no	W	F04	WP08	T34.L	Backend memory/child settings change before disk write; frontend rollback does not restore backend memory.
set_workspace_runtime_codex_args	T	workspace:literal	remote-when-enabled	yes	P+X	F04	WP03	T51.L	May replace all shared session keys then kill old process; allowlisted retry is not proof of safety.
connect_workspace	T	workspace:literal	remote-when-enabled	yes	P	F04	WP03	T51.L	Reuses arbitrary first live shared session without profile/auth/home/privacy key equivalence.
list_workspace_files	T	workspace:literal	remote-when-enabled	yes	R	F11	WP08	T22.L	Walk target-host workspace with its limits and exclusions; same name does not grant arbitrary file access.
read_workspace_file	T	workspace:literal	remote-when-enabled	yes	R	F11	WP08	T22.L	Canonicalize root/candidate and enforce host-specific bounded UTF-8 read.
open_workspace_in	T	workspace:literal	local	no	P+OS	F11	WP08	T22.L	Desktop local app/command execution; direct daemon call executes on daemon host instead.
